customer_id,customer_name,email,country,sales
1,Allen Carter,meyerbrian@example.com,Turkey,4355.63
2,Travis Powell,shauncobb@example.net,Haiti,1588.72
3,Ashley Fields,rebecca72@example.org,Chile,1453.97
4,Alan Bridges DDS,andresgriffin@example.org,Guinea-Bissau,2756.11
5,Mikayla Shields,john69@example.org,Mali,3580.01
6,Douglas Brock,wfarley@example.net,Micronesia,878.67
7,William Lee,sellis@example.com,Reunion,536.77
8,Brandi Higgins,donald13@example.org,Nepal,706.43
9,Eric Booker,jessicaayala@example.org,Korea,3523.51
10,Christopher Wright,claytonperez@example.net,Haiti,2827.85
11,David Gutierrez,isnyder@example.net,Cote d'Ivoire,3096.92
12,Christina Adams,colton48@example.net,Heard Island and McDonald Islands,1437.2
13,David Salazar,randallgreen@example.net,Denmark,731.88
14,Christine Ortiz,jjohnson@example.com,British Indian Ocean Territory (Chagos Archipelago),3601.05
15,Dawn Smith,jorge42@example.net,New Zealand,1895.96
16,Kevin Moyer,traviswalter@example.net,Mexico,4143.27
17,Angela Clark,johnbrown@example.net,Bangladesh,1470.31
18,Stacey Thompson,catherinemitchell@example.net,Ghana,2760.35
19,Alexis Webb,thomascruz@example.net,Bhutan,4921.0
20,Karla Lopez,guerrerosheryl@example.net,Latvia,2132.57
21,Kelly Gordon,hernandezmichael@example.org,Malta,1753.79
22,Stephanie Park,james93@example.net,Svalbard & Jan Mayen Islands,3266.42
23,Tara Lopez,boothbrittany@example.org,Kyrgyz Republic,3856.35
24,Kaitlyn Barry,walter00@example.net,Korea,4307.31
25,Kenneth Bates,smithrobin@example.com,Kenya,1910.81
26,Steve Turner,dakotarobinson@example.org,Comoros,4621.31
27,Julie Baker,greeneadam@example.org,Cambodia,4631.69
28,Kristin Morris,dhoffman@example.org,Turkey,2235.53
29,Caitlin Fisher,tlee@example.org,Venezuela,1712.56
30,Erica Walker,karen92@example.net,Jersey,1705.88
31,April Murphy,kristimoore@example.com,Sudan,3571.36
32,Mr. Joshua Miller,ruizmaria@example.org,Dominican Republic,4264.01
33,Ann Richards,beankathleen@example.org,Palau,4015.45
34,Denise Long,carolmartinez@example.org,Micronesia,1488.12
35,Dana Harvey,herrerakenneth@example.com,Palau,3297.51
36,Renee Fitzpatrick,elizabeth34@example.com,Lebanon,694.37
37,Kelly Thompson,evanslisa@example.net,Lebanon,2462.94
38,Derek Ortiz,jerryvega@example.net,Lao People's Democratic Republic,799.06
39,Michael Lin,atkinscarol@example.com,Croatia,4063.16
40,Kyle Campbell,davidhowell@example.org,Greece,456.63
41,Eric Stanley,richtimothy@example.net,New Caledonia,4068.89
42,Justin Weber,joneskara@example.net,Moldova,4641.64
43,Todd Clay,yperez@example.net,British Indian Ocean Territory (Chagos Archipelago),4263.53
44,Cheryl Wise,jocelyn02@example.org,Ecuador,2271.22
45,Ryan Lambert,fowleraaron@example.com,Guam,1697.64
46,Anne Massey,melissa22@example.com,Vanuatu,4348.48
47,Sheryl Macias,elizabeth61@example.com,Liberia,4456.29
48,Robert Paul,ana77@example.net,Botswana,4883.75
49,Christopher Ford,vclark@example.com,Rwanda,2719.7
50,Matthew Alexander,crystalthomas@example.org,Netherlands Antilles,3479.95
51,Jasmine Harrington,mwyatt@example.com,Slovenia,1167.06
52,Alan Reynolds,mariabarker@example.org,Niger,677.73
53,Alejandro Vaughn,normanrachel@example.net,Uzbekistan,3901.22
54,John Arnold,sarahwilkinson@example.org,Russian Federation,896.8
55,William Howard,burnspatrick@example.net,Tuvalu,897.68
56,Elizabeth Johnson,michaeldavenport@example.net,Ukraine,4697.75
57,Kathryn Sanchez,reneeyoung@example.com,Switzerland,4486.36
58,Tammy Lynch,andrewprice@example.com,Slovakia (Slovak Republic),3105.53
59,Amber Mccormick,jessica87@example.com,Lebanon,1153.98
60,Edward Henry,obryant@example.com,Haiti,2052.02
61,Patrick White,alexanderdaniel@example.org,Syrian Arab Republic,1653.7
62,George Ward,chamberscourtney@example.net,Congo,2697.5
63,Nicholas Parrish,wwarner@example.net,Saint Vincent and the Grenadines,2190.71
64,Kyle Stephens,singletondavid@example.net,Greenland,2220.82
65,Carla Miller,qbrewer@example.net,Mali,1607.64
66,Ryan Blair,vreynolds@example.net,Saint Helena,4136.58
67,Kari Brennan,jeffreyjones@example.com,Brunei Darussalam,3805.67
68,Brianna Jones MD,bonnie77@example.com,Kuwait,4457.17
69,Shannon Miller,jonesnicholas@example.org,Malta,503.75
70,Mr. Erik Edwards,yrios@example.com,Isle of Man,3009.41
71,Amanda Henderson,alyssa17@example.com,Heard Island and McDonald Islands,1196.35
72,Jeffrey Lee,smithrichard@example.com,North Macedonia,4956.49
73,Keith Hardin,xday@example.net,Ecuador,2253.31
74,Mariah Jones MD,ostokes@example.com,Svalbard & Jan Mayen Islands,3125.39
75,Jonathan Lopez,stephanie95@example.com,Guadeloupe,490.12
76,Andrew Cox,bayers@example.org,Peru,1448.53
77,Kristina Decker,jkidd@example.org,Malaysia,1465.5
78,Joseph Farmer,ecrawford@example.net,New Zealand,481.14
79,Kelly Dunlap,amy95@example.net,Bhutan,4249.87
80,William Flores,krista19@example.net,Nepal,3526.17
81,Jessica Martin,hobbschase@example.com,Gabon,4699.34
82,Maria Perez,wandasanchez@example.org,Guadeloupe,2792.79
83,Kenneth Harvey,heidiyoder@example.org,Christmas Island,1587.85
84,Mason Frye,jordansarah@example.net,Brazil,529.81
85,Bianca Yates,sara36@example.net,Lithuania,2031.77
86,Tammy Young,hannah88@example.com,France,622.19
87,Christy Cooper,allenmargaret@example.org,Congo,4818.06
88,Tiffany Duffy MD,emilyhernandez@example.net,Cyprus,3296.11
89,Brent Sutton,ericwilliams@example.com,South Africa,1006.38
90,Nicole Kirk,cooleyrebecca@example.com,Eritrea,2861.07
91,Samantha Adams,katelynwright@example.net,Zambia,1051.91
92,Christopher Davis,coopercharles@example.org,Guinea,3669.51
93,Charles Baker,smithgregory@example.com,Azerbaijan,1890.79
94,Amber Brewer,kcarroll@example.com,Greenland,3470.57
95,Hector Keller,griffithdavid@example.net,Dominica,1629.88
96,Andrew Martin,cnguyen@example.com,Cook Islands,444.52
97,Mrs. Lori Sanders,jennifer01@example.com,Eritrea,3172.55
98,Eric Owens,judymccoy@example.net,Nepal,2155.01
99,Elizabeth Anderson,cabreraemily@example.org,Portugal,328.52
100,Sarah Miller,rpage@example.net,United Arab Emirates,3976.01
101,Emily Wilson MD,mary55@example.org,Jamaica,4174.36
102,Christine Burgess,whiteheather@example.com,Mali,2438.32
103,Kyle Edwards,sethcurry@example.com,Swaziland,2423.24
104,Andre Wilson,pcobb@example.net,Djibouti,3057.72
105,Tami Butler,serranojessica@example.net,Peru,3368.31
106,Nicholas Joyce,jessica60@example.net,United States Virgin Islands,3369.17
107,Kelly Huffman,kelly28@example.org,Dominica,4467.42
108,Julie Herman,rodneyscott@example.net,Germany,3588.4
109,Lauren Morgan,stephanie52@example.net,Germany,2024.65
110,Terry White,johnsonjohn@example.com,Reunion,4675.48
111,Elizabeth Phelps,frychristopher@example.org,Micronesia,558.64
112,Eric Murphy,scottdebra@example.com,Slovenia,3702.9
